Algorithm,Variant,Iteration,BestTrainMakespan
GNN,Original Algo + BO,1,411.94029850746267
GNN,Original Algo + BO,2,411.94029850746267
GNN,Original Algo + BO,3,411.94029850746267
GNN,Original Algo + BO,4,411.94029850746267
GNN,Original Algo + BO,5,411.94029850746267
GNN,Original Algo + BO,6,411.94029850746267
GNN,Original Algo + BO,7,411.94029850746267
GNN,Original Algo + BO,8,411.94029850746267
GNN,Original Algo + BO,9,411.94029850746267
GNN,Original Algo + BO,10,411.94029850746267
GNN,Original Algo + BO,11,411.94029850746267
GNN,Original Algo + BO,12,411.94029850746267
GNN,Original Algo + BO,13,411.94029850746267
GNN,Original Algo + BO,14,402.6119402985075
GNN,Original Algo + BO,15,402.6119402985075
GNN,Original Algo + Motifs + BO,1,415.53731343283584
GNN,Original Algo + Motifs + BO,2,415.53731343283584
GNN,Original Algo + Motifs + BO,3,415.53731343283584
GNN,Original Algo + Motifs + BO,4,415.53731343283584
GNN,Original Algo + Motifs + BO,5,415.53731343283584
GNN,Original Algo + Motifs + BO,6,415.53731343283584
GNN,Original Algo + Motifs + BO,7,415.53731343283584
GNN,Original Algo + Motifs + BO,8,415.2835820895522
GNN,Original Algo + Motifs + BO,9,415.2835820895522
GNN,Original Algo + Motifs + BO,10,415.2835820895522
GNN,Original Algo + Motifs + BO,11,415.2835820895522
GNN,Original Algo + Motifs + BO,12,415.2835820895522
GNN,Original Algo + Motifs + BO,13,415.2835820895522
GNN,Original Algo + Motifs + BO,14,415.2835820895522
GNN,Original Algo + Motifs + BO,15,403.8358208955224
GNN,Original Algo + Configs + BO (LLM for Weight Generation),1,430.55223880597015
GNN,Original Algo + Configs + BO (LLM for Weight Generation),2,414.56716417910445
GNN,Original Algo + Configs + BO (LLM for Weight Generation),3,414.56716417910445
GNN,Original Algo + Configs + BO (LLM for Weight Generation),4,414.56716417910445
GNN,Original Algo + Configs + BO (LLM for Weight Generation),5,414.56716417910445
GNN,Original Algo + Configs + BO (LLM for Weight Generation),6,414.56716417910445
GNN,Original Algo + Configs + BO (LLM for Weight Generation),7,414.56716417910445
GNN,Original Algo + Configs + BO (LLM for Weight Generation),8,414.56716417910445
GNN,Original Algo + Configs + BO (LLM for Weight Generation),9,414.56716417910445
GNN,Original Algo + Configs + BO (LLM for Weight Generation),10,413.82089552238807
GNN,Original Algo + Configs + BO (LLM for Weight Generation),11,413.82089552238807
GNN,Original Algo + Configs + BO (LLM for Weight Generation),12,405.76119402985074
GNN,Original Algo + Configs + BO (LLM for Weight Generation),13,405.76119402985074
GNN,Original Algo + Configs + BO (LLM for Weight Generation),14,405.76119402985074
GNN,Original Algo + Configs + BO (LLM for Weight Generation),15,403.3731343283582
Greedy-EFT,Original Algo + BO,1,439.2686567164179
Greedy-EFT,Original Algo + BO,2,435.089552238806
Greedy-EFT,Original Algo + BO,3,435.089552238806
Greedy-EFT,Original Algo + BO,4,419.56716417910445
Greedy-EFT,Original Algo + BO,5,419.56716417910445
Greedy-EFT,Original Algo + BO,6,419.56716417910445
Greedy-EFT,Original Algo + BO,7,419.56716417910445
Greedy-EFT,Original Algo + BO,8,413.23880597014926
Greedy-EFT,Original Algo + BO,9,413.23880597014926
Greedy-EFT,Original Algo + BO,10,413.23880597014926
Greedy-EFT,Original Algo + BO,11,413.23880597014926
Greedy-EFT,Original Algo + BO,12,413.23880597014926
Greedy-EFT,Original Algo + BO,13,413.23880597014926
Greedy-EFT,Original Algo + BO,14,413.23880597014926
Greedy-EFT,Original Algo + BO,15,404.76119402985074
Greedy-EFT,Original Algo + Motifs + BO,1,440.8059701492537
Greedy-EFT,Original Algo + Motifs + BO,2,436.1044776119403
Greedy-EFT,Original Algo + Motifs + BO,3,436.1044776119403
Greedy-EFT,Original Algo + Motifs + BO,4,421.64179104477614
Greedy-EFT,Original Algo + Motifs + BO,5,421.64179104477614
Greedy-EFT,Original Algo + Motifs + BO,6,421.64179104477614
Greedy-EFT,Original Algo + Motifs + BO,7,421.64179104477614
Greedy-EFT,Original Algo + Motifs + BO,8,415.2835820895522
Greedy-EFT,Original Algo + Motifs + BO,9,415.2835820895522
Greedy-EFT,Original Algo + Motifs + BO,10,415.2835820895522
Greedy-EFT,Original Algo + Motifs + BO,11,415.2835820895522
Greedy-EFT,Original Algo + Motifs + BO,12,410.67164179104475
Greedy-EFT,Original Algo + Motifs + BO,13,410.67164179104475
Greedy-EFT,Original Algo + Motifs + BO,14,410.67164179104475
Greedy-EFT,Original Algo + Motifs + BO,15,410.67164179104475
Greedy-EFT,Original Algo + Configs + BO (LLM for Weight Generation),1,426.95522388059703
Greedy-EFT,Original Algo + Configs + BO (LLM for Weight Generation),2,414.56716417910445
Greedy-EFT,Original Algo + Configs + BO (LLM for Weight Generation),3,414.56716417910445
Greedy-EFT,Original Algo + Configs + BO (LLM for Weight Generation),4,414.56716417910445
Greedy-EFT,Original Algo + Configs + BO (LLM for Weight Generation),5,414.56716417910445
Greedy-EFT,Original Algo + Configs + BO (LLM for Weight Generation),6,414.56716417910445
