method,family,nodes,edges,makespan,slr,runtime_ms,motifs
HEFT,MOTIF_JOIN,11,10,71.0,1.4489795918367347,0.0,"{""chain_nodes"": 0, ""fork_nodes"": 0, ""join_nodes"": 1, ""diamond_like_nodes"": 0}"
HEFT,ER,30,25,106.0,1.8275862068965518,1.0263919830322266,"{""chain_nodes"": 2, ""fork_nodes"": 8, ""join_nodes"": 5, ""diamond_like_nodes"": 0}"
HEFT,ER,50,118,264.0,1.353846153846154,1.0175704956054688,"{""chain_nodes"": 1, ""fork_nodes"": 30, ""join_nodes"": 32, ""diamond_like_nodes"": 17}"
HEFT,ER,20,16,76.0,1.1176470588235294,1.0249614715576172,"{""chain_nodes"": 4, ""fork_nodes"": 4, ""join_nodes"": 3, ""diamond_like_nodes"": 0}"
HEFT,ER,30,59,153.0,1.3660714285714286,0.0,"{""chain_nodes"": 1, ""fork_nodes"": 18, ""join_nodes"": 20, ""diamond_like_nodes"": 9}"
HEFT,BA,50,85,209.0,1.5035971223021583,2.0475387573242188,"{""chain_nodes"": 4, ""fork_nodes"": 26, ""join_nodes"": 29, ""diamond_like_nodes"": 14}"
HEFT,WS,30,44,151.0,1.4519230769230769,0.0,"{""chain_nodes"": 3, ""fork_nodes"": 14, ""join_nodes"": 15, ""diamond_like_nodes"": 4}"
HEFT,BA,30,45,260.0,1.244019138755981,0.8428096771240234,"{""chain_nodes"": 7, ""fork_nodes"": 11, ""join_nodes"": 15, ""diamond_like_nodes"": 5}"
HEFT,WS,30,40,126.0,1.5365853658536586,1.0564327239990234,"{""chain_nodes"": 3, ""fork_nodes"": 13, ""join_nodes"": 15, ""diamond_like_nodes"": 3}"
HEFT,BA,50,82,228.0,1.3987730061349692,2.050161361694336,"{""chain_nodes"": 9, ""fork_nodes"": 22, ""join_nodes"": 19, ""diamond_like_nodes"": 7}"
HEFT,ER,50,107,199.0,1.3819444444444444,1.6491413116455078,"{""chain_nodes"": 2, ""fork_nodes"": 28, ""join_nodes"": 29, ""diamond_like_nodes"": 13}"
HEFT,ER,50,107,256.0,1.4883720930232558,1.1262893676757812,"{""chain_nodes"": 2, ""fork_nodes"": 30, ""join_nodes"": 28, ""diamond_like_nodes"": 13}"
CPOP,MOTIF_JOIN,11,10,71.0,1.4489795918367347,0.06437301635742188,"{""chain_nodes"": 0, ""fork_nodes"": 0, ""join_nodes"": 1, ""diamond_like_nodes"": 0}"
CPOP,ER,30,25,128.0,2.206896551724138,1.0013580322265625,"{""chain_nodes"": 2, ""fork_nodes"": 8, ""join_nodes"": 5, ""diamond_like_nodes"": 0}"
CPOP,ER,50,118,291.0,1.4923076923076923,1.5261173248291016,"{""chain_nodes"": 1, ""fork_nodes"": 30, ""join_nodes"": 32, ""diamond_like_nodes"": 17}"
CPOP,ER,20,16,84.0,1.2352941176470589,1.031637191772461,"{""chain_nodes"": 4, ""fork_nodes"": 4, ""join_nodes"": 3, ""diamond_like_nodes"": 0}"
CPOP,ER,30,59,178.0,1.5892857142857142,1.0290145874023438,"{""chain_nodes"": 1, ""fork_nodes"": 18, ""join_nodes"": 20, ""diamond_like_nodes"": 9}"
